SOURCE	STRATA	DEP10	N_BREAK	TOTN	DISTFRAC
2	491	100	150	947	.158394931362196
2	491	110	104	947	.109820485744456
2	491	120	92	947	.0971488912354805
2	491	130	101	947	.106652587117212
2	491	140	77	947	.0813093980992608
2	491	150	56	947	.0591341077085533
2	491	160	55	947	.058078141499472
2	491	170	81	947	.0855332629355861
2	491	180	67	947	.0707497360084477
2	491	190	74	947	.0781414994720169
2	491	200	45	947	.0475184794086589
2	491	210	5	947	.00527983104540655
2	492	70	1	1480	.000675675675675676
2	492	80	16	1480	.0108108108108108
2	492	90	81	1480	.0547297297297297
2	492	100	170	1480	.114864864864865
2	492	110	200	1480	.135135135135135
2	492	120	161	1480	.108783783783784
2	492	130	119	1480	.0804054054054054
2	492	140	123	1480	.0831081081081081
2	492	150	129	1480	.0871621621621622
2	492	160	128	1480	.0864864864864865
2	492	170	104	1480	.0702702702702703
2	492	180	102	1480	.0689189189189189
